AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_provider	DATASTORE_region	Experiment	InsertSize	Instrument	LibraryLayout	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	collection_date	env_biome	env_feature	env_material	estimated_size	geo_loc_name	isol_growth_condt	isolate	lat_lon	num_replicons	ploidy	propagation	strain	Assay_Type	Consent	DATASTORE_filetype	LibrarySelection	LibrarySource	Organism
	250	PRJNA413876	SAMN07773571	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470333	0	Illumina HiSeq 2000	PAIRED	22.OZ	2017-12-14	2290	984	ILLUMINA	2017-12-14	SRR6375535	SRS2757124	SRP123576	22.OZ	2012	missing	missing	not applicable	23.7Mb	Australia	missing		41.59531 S 145.09701 E	not applicable	missing	missing	22.OZ	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773570	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470334	0	Illumina HiSeq 2000	PAIRED	20.OZ	2017-12-14	1378	617	ILLUMINA	2017-12-14	SRR6375534	SRS2757127	SRP123576	20.OZ	2012	missing	missing	not applicable	23.7Mb	Australia	missing		41.59531 S 145.09701 E	not applicable	missing	missing	20.OZ	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773569	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470335	0	Illumina HiSeq 2000	PAIRED	18.OZ	2017-12-14	1908	851	ILLUMINA	2017-12-14	SRR6375533	SRS2757121	SRP123576	18.OZ	2012	missing	missing	not applicable	23.7Mb	Australia	missing		41.60603 S 145.17334 E	not applicable	missing	missing	18.OZ	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773568	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470336	0	Illumina HiSeq 2000	PAIRED	16.OZ	2017-12-14	1992	892	ILLUMINA	2017-12-14	SRR6375532	SRS2757123	SRP123576	16.OZ	2012	missing	missing	not applicable	23.7Mb	Australia	missing		41.60603 S 145.17334 E	not applicable	missing	missing	16.OZ	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773688	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470337	0	Illumina HiSeq 2000	PAIRED	SA-KN1	2017-12-14	1204	528	ILLUMINA	2017-12-14	SRR6375531	SRS2757129	SRP123576	SA-KN1	2016	missing	missing	not applicable	23.7Mb	South Africa	missing		28.75231 S 28.89436 E	not applicable	missing	missing	SA-KN1	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773687	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470338	0	Illumina HiSeq 2000	PAIRED	SA-FS1	2017-12-14	1122	489	ILLUMINA	2017-12-14	SRR6375530	SRS2757131	SRP123576	SA-FS1	2016	missing	missing	not applicable	23.7Mb	South Africa	missing		28.75064 S 28.87136 E	not applicable	missing	missing	SA-FS1	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773690	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470339	0	Illumina HiSeq 2000	PAIRED	SA-KN4	2017-12-14	1181	524	ILLUMINA	2017-12-14	SRR6375529	SRS2757130	SRP123576	SA-KN4	2016	missing	missing	not applicable	23.7Mb	South Africa	missing		28.71981 S 28.92361 E	not applicable	missing	missing	SA-KN4	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773689	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470340	0	Illumina HiSeq 2000	PAIRED	SA-KN3	2017-12-14	1088	473	ILLUMINA	2017-12-14	SRR6375528	SRS2757132	SRP123576	SA-KN3	2016	missing	missing	not applicable	23.7Mb	South Africa	missing		28.76028 S 28.89639 E	not applicable	missing	missing	SA-KN3	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773692	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470341	0	Illumina HiSeq 2000	PAIRED	SA-KN6	2017-12-14	1148	495	ILLUMINA	2017-12-14	SRR6375527	SRS2757133	SRP123576	SA-KN6	2016	missing	missing	not applicable	23.7Mb	South Africa	missing		28.71981 S 28.92361 E	not applicable	missing	missing	SA-KN6	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773691	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470342	0	Illumina HiSeq 2000	PAIRED	SA-KN5	2017-12-14	1120	502	ILLUMINA	2017-12-14	SRR6375526	SRS2757136	SRP123576	SA-KN5	2016	missing	missing	not applicable	23.7Mb	South Africa	missing		28.71981 S 28.92361 E	not applicable	missing	missing	SA-KN5	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773694	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470343	0	Illumina HiSeq 2000	PAIRED	KB108	2017-12-14	4302	2045	ILLUMINA	2017-12-14	SRR6375525	SRS2757135	SRP123576	KB108	2014	missing	missing	not applicable	23.7Mb	South Korea	missing		37.1801 N 126.75632 E	not applicable	missing	missing	KB108	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773693	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470344	0	Illumina HiSeq 2000	PAIRED	CLFT001	2017-12-14	1829	809	ILLUMINA	2017-12-14	SRR6375524	SRS2757134	SRP123576	CLFT001	2010	missing	missing	not applicable	23.7Mb	Brazil	missing		23.24929 S 46.94992 W	not applicable	missing	missing	CLFT001	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773696	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470345	0	Illumina HiSeq 2000	PAIRED	KB45	2017-12-14	2420	1143	ILLUMINA	2017-12-14	SRR6375523	SRS2757137	SRP123576	KB45	2014	missing	missing	not applicable	23.7Mb	South Korea	missing		36.13737 N 127.38169 E	not applicable	missing	missing	KB45	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773695	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470346	0	Illumina HiSeq 2000	PAIRED	KB23	2017-12-14	3199	1495	ILLUMINA	2017-12-14	SRR6375522	SRS2757144	SRP123576	KB23	2014	missing	missing	not applicable	23.7Mb	South Korea	missing		38.1298 N 127.7657 E	not applicable	missing	missing	KB23	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773654	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470347	0	Illumina HiSeq 2000	PAIRED	SWED-40.5.04	2017-12-14	1189	511	ILLUMINA	2017-12-14	SRR6375521	SRS2757146	SRP123576	SWED-40.5.04	2016	missing	missing	not applicable	23.7Mb	Sweden	missing		55.63398 N 13.00542 E	not applicable	missing	missing	SWED-40.5.04	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773650	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470348	0	Illumina HiSeq 2000	PAIRED	SA-NC8	2017-12-14	1059	463	ILLUMINA	2017-12-14	SRR6375520	SRS2757138	SRP123576	SA-NC8	2015	missing	missing	not applicable	23.7Mb	South Africa	missing		28.69598 S 17.59736 E	not applicable	missing	missing	SA-NC8	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773649	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470349	0	Illumina HiSeq 2000	PAIRED	SA-NC7	2017-12-14	1084	466	ILLUMINA	2017-12-14	SRR6375519	SRS2757139	SRP123576	SA-NC7	2015	missing	missing	not applicable	23.7Mb	South Africa	missing		28.73725 S 19.29922 E	not applicable	missing	missing	SA-NC7	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773648	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470350	0	Illumina HiSeq 2000	PAIRED	SA-NC6	2017-12-14	1058	472	ILLUMINA	2017-12-14	SRR6375518	SRS2757140	SRP123576	SA-NC6	2015	missing	missing	not applicable	23.7Mb	South Africa	missing		28.73725 S 19.29922 E	not applicable	missing	missing	SA-NC6	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	200	PRJNA413876	SAMN07773628	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470351	0	Illumina HiSeq 2000	PAIRED	JEL423	2017-12-14	4620	2999	ILLUMINA	2017-12-14	SRR6375517	SRS2757141	SRP123576	JEL423	2004	missing	missing	not applicable	23.7Mb	Panama	missing		8.5833 N 82.5333 W	not applicable	missing	missing	JEL423	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	200	PRJNA413876	SAMN07773627	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470352	0	Illumina HiSeq 2000	PAIRED	JEL274	2017-12-14	4131	2722	ILLUMINA	2017-12-14	SRR6375516	SRS2757143	SRP123576	JEL274	1999	missing	missing	not applicable	23.7Mb	USA	missing		40.779 N 111.924 W	not applicable	missing	missing	JEL274	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	200	PRJNA413876	SAMN07773630	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470353	0	Illumina HiSeq 2000	PAIRED	LHURS_11No1	2017-12-14	4323	2707	ILLUMINA	2017-12-14	SRR6375515	SRS2757142	SRP123576	LHURS_11No1	2011	missing	missing	not applicable	23.7Mb	France	missing		42.92205 N 0.70263 W	not applicable	missing	missing	LHURS_11No1	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773629	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470354	0	Illumina HiSeq 2000	PAIRED	L2203	2017-12-14	2473	1169	ILLUMINA	2017-12-14	SRR6375514	SRS2757145	SRP123576	L2203	2009	missing	missing	not applicable	23.7Mb	Montserrat	missing		16.743 N 62.1873 W	not applicable	missing	missing	L2203	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773632	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470355	0	Illumina HiSeq 2000	PAIRED	MC94	2017-12-14	1790	808	ILLUMINA	2017-12-14	SRR6375513	SRS2757147	SRP123576	MC94	2008	missing	missing	not applicable	23.7Mb	South Africa	missing		22.90168 S 30.69609 E	not applicable	missing	missing	MC94	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	200	PRJNA413876	SAMN07773631	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470356	0	Illumina HiSeq 2000	PAIRED	LHURS_11No7	2017-12-14	4224	2653	ILLUMINA	2017-12-14	SRR6375512	SRS2757148	SRP123576	LHURS_11No7	2011	missing	missing	not applicable	23.7Mb	France	missing		42.92205 N 0.70263 W	not applicable	missing	missing	LHURS_11No7	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773634	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470357	0	Illumina HiSeq 2000	PAIRED	PENS-2.4	2017-12-14	1213	526	ILLUMINA	2017-12-14	SRR6375511	SRS2757155	SRP123576	PENS-2.4	2014	missing	missing	not applicable	23.7Mb	Spain	missing		40.83987 N 3.95735 W	not applicable	missing	missing	PENS-2.4	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773633	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470358	0	Illumina HiSeq 2000	PAIRED	MCT8	2017-12-14	1711	761	ILLUMINA	2017-12-14	SRR6375510	SRS2757149	SRP123576	MCT8	2008	missing	missing	not applicable	23.7Mb	South Africa	missing		34.09332 S 18.42167 E	not applicable	missing	missing	MCT8	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773636	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470359	0	Illumina HiSeq 2000	PAIRED	PNP15150	2017-12-14	1678	754	ILLUMINA	2017-12-14	SRR6375509	SRS2757150	SRP123576	PNP15150	2015	missing	missing	not applicable	23.7Mb	France	missing		42.92205 N 0.70263 W	not applicable	missing	missing	PNP15150	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773635	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470360	0	Illumina HiSeq 2000	PAIRED	PENS-9.2	2017-12-14	1176	515	ILLUMINA	2017-12-14	SRR6375508	SRS2757154	SRP123576	PENS-9.2	2014	missing	missing	not applicable	23.7Mb	Spain	missing		40.83987 N 3.95735 W	not applicable	missing	missing	PENS-9.2	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773653	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470361	0	Illumina HiSeq 2000	PAIRED	SA-EC7	2017-12-14	1144	494	ILLUMINA	2017-12-14	SRR6375507	SRS2757151	SRP123576	SA-EC7	2016	missing	missing	not applicable	23.7Mb	South Africa	missing		30.72189 S 26.90646 E	not applicable	missing	missing	SA-EC7	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773652	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470362	0	Illumina HiSeq 2000	PAIRED	SA-EC6	2017-12-14	1183	511	ILLUMINA	2017-12-14	SRR6375506	SRS2757156	SRP123576	SA-EC6	2016	missing	missing	not applicable	23.7Mb	South Africa	missing		30.72189 S 26.90646 E	not applicable	missing	missing	SA-EC6	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773651	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470363	0	Illumina HiSeq 2000	PAIRED	SA-NC9	2017-12-14	1085	476	ILLUMINA	2017-12-14	SRR6375505	SRS2757153	SRP123576	SA-NC9	2015	missing	missing	not applicable	23.7Mb	South Africa	missing		28.69598 S 17.59736 E	not applicable	missing	missing	SA-NC9	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773645	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470364	0	Illumina HiSeq 2000	PAIRED	SA-NC3	2017-12-14	1107	502	ILLUMINA	2017-12-14	SRR6375504	SRS2757152	SRP123576	SA-NC3	2015	missing	missing	not applicable	23.7Mb	South Africa	missing		28.91356 S 19.00142 E	not applicable	missing	missing	SA-NC3	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773646	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470365	0	Illumina HiSeq 2000	PAIRED	SA-NC4	2017-12-14	1126	503	ILLUMINA	2017-12-14	SRR6375503	SRS2757157	SRP123576	SA-NC4	2015	missing	missing	not applicable	23.7Mb	South Africa	missing		28.91356 S 19.00142 E	not applicable	missing	missing	SA-NC4	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773641	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470366	0	Illumina HiSeq 2000	PAIRED	SA-EC1	2017-12-14	1077	467	ILLUMINA	2017-12-14	SRR6375502	SRS2757158	SRP123576	SA-EC1	2015	missing	missing	not applicable	23.7Mb	South Africa	missing		30.5981 S 29.89451 E	not applicable	missing	missing	SA-EC1	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773642	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470367	0	Illumina HiSeq 2000	PAIRED	SA-NC1	2017-12-14	1140	507	ILLUMINA	2017-12-14	SRR6375501	SRS2757160	SRP123576	SA-NC1	2015	missing	missing	not applicable	23.7Mb	South Africa	missing		28.91356 S 19.00142 E	not applicable	missing	missing	SA-NC1	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773643	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470368	0	Illumina HiSeq 2000	PAIRED	SA-NC10	2017-12-14	1183	513	ILLUMINA	2017-12-14	SRR6375500	SRS2757159	SRP123576	SA-NC10	2015	missing	missing	not applicable	23.7Mb	South Africa	missing		28.69598 S 17.59736 E	not applicable	missing	missing	SA-NC10	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773644	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470369	0	Illumina HiSeq 2000	PAIRED	SA-NC2	2017-12-14	1139	500	ILLUMINA	2017-12-14	SRR6375499	SRS2757161	SRP123576	SA-NC2	2015	missing	missing	not applicable	23.7Mb	South Africa	missing		28.91356 S 19.00142 E	not applicable	missing	missing	SA-NC2	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773637	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470370	0	Illumina HiSeq 2000	PAIRED	PNP15153	2017-12-14	2381	1043	ILLUMINA	2017-12-14	SRR6375498	SRS2757163	SRP123576	PNP15153	2015	missing	missing	not applicable	23.7Mb	France	missing		42.92205 N 0.70263 W	not applicable	missing	missing	PNP15153	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	200	PRJNA413876	SAMN07773638	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470371	0	Illumina HiSeq 2000	PAIRED	PUITS_11	2017-12-14	4109	2673	ILLUMINA	2017-12-14	SRR6375497	SRS2757162	SRP123576	PUITS_11	2011	missing	missing	not applicable	23.7Mb	France	missing		42.86428 N 0.6332 W	not applicable	missing	missing	PUITS_11	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773639	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470372	0	Illumina HiSeq 2000	PAIRED	RC4	2017-12-14	1217	573	ILLUMINA	2017-12-14	SRR6375496	SRS2757165	SRP123576	RC4	2010	missing	missing	not applicable	23.7Mb	France	missing		47.59133 N 1.89704 E	not applicable	missing	missing	RC4	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773640	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470373	0	Illumina HiSeq 2000	PAIRED	RC5.1	2017-12-14	2208	1048	ILLUMINA	2017-12-14	SRR6375495	SRS2757164	SRP123576	RC5.1	2010	missing	missing	not applicable	23.7Mb	France	missing		47.59133 N 1.89704 E	not applicable	missing	missing	RC5.1	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773655	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470374	0	Illumina HiSeq 2000	PAIRED	SWED-40.5.13	2017-12-14	1230	538	ILLUMINA	2017-12-14	SRR6375494	SRS2757166	SRP123576	SWED-40.5.13	2016	missing	missing	not applicable	23.7Mb	Sweden	missing		55.63398 N 13.00542 E	not applicable	missing	missing	SWED-40.5.13	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773619	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470375	0	Illumina HiSeq 2000	PAIRED	Hung_2044	2017-12-14	2766	1307	ILLUMINA	2017-12-14	SRR6375493	SRS2757308	SRP123576	Hung_2044	2014	missing	missing	not applicable	23.7Mb	Hungary	missing		47.23261 N 17.64261 E	not applicable	missing	missing	Hung_2044	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773620	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470376	0	Illumina HiSeq 2000	PAIRED	HYATT	2017-12-14	1656	711	ILLUMINA	2017-12-14	SRR6375492	SRS2757167	SRP123576	HYATT	1998	missing	missing	not applicable	23.7Mb	Australia	missing		missing	not applicable	missing	missing	HYATT	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773617	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470377	0	Illumina HiSeq 2000	PAIRED	Hung_2014	2017-12-14	3519	1654	ILLUMINA	2017-12-14	SRR6375491	SRS2757168	SRP123576	Hung_2014	2014	missing	missing	not applicable	23.7Mb	Hungary	missing		47.23261 N 17.64261 E	not applicable	missing	missing	Hung_2014	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773618	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470378	0	Illumina HiSeq 2000	PAIRED	Hung_2039	2017-12-14	3345	1535	ILLUMINA	2017-12-14	SRR6375490	SRS2757169	SRP123576	Hung_2039	2014	missing	missing	not applicable	23.7Mb	Hungary	missing		47.23261 N 17.64261 E	not applicable	missing	missing	Hung_2039	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	200	PRJNA413876	SAMN07773623	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470379	0	Illumina HiSeq 2000	PAIRED	IA043_cryo	2017-12-14	5457	3742	ILLUMINA	2017-12-14	SRR6375489	SRS2757170	SRP123576	IA043_cryo	2004	missing	missing	not applicable	23.7Mb	Spain	missing		42.87917 N 0.70083 W	not applicable	missing	missing	IA043_cryo	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773624	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470380	0	Illumina HiSeq 2000	PAIRED	JEL240	2017-12-14	1692	762	ILLUMINA	2017-12-14	SRR6375488	SRS2757171	SRP123576	JEL240	1999	missing	missing	not applicable	23.7Mb	USA	missing		44.90082 N 68.66565 W	not applicable	missing	missing	JEL240	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	200	PRJNA413876	SAMN07773621	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470381	0	Illumina HiSeq 2000	PAIRED	IA_11	2017-12-14	3309	2088	ILLUMINA	2017-12-14	SRR6375487	SRS2757173	SRP123576	IA_11	2011	missing	missing	not applicable	23.7Mb	Spain	missing		42.87917 N 0.70083 W	not applicable	missing	missing	IA_11	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	200	PRJNA413876	SAMN07773622	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470382	0	Illumina HiSeq 2000	PAIRED	IA_13No17	2017-12-14	4738	2985	ILLUMINA	2017-12-14	SRR6375486	SRS2757311	SRP123576	IA_13No17	2013	missing	missing	not applicable	23.7Mb	Spain	missing		42.87917 N 0.70083 W	not applicable	missing	missing	IA_13No17	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	200	PRJNA413876	SAMN07773625	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470383	0	Illumina HiSeq 2000	PAIRED	JEL261	2017-12-14	5159	3407	ILLUMINA	2017-12-14	SRR6375485	SRS2757172	SRP123576	JEL261	1999	missing	missing	not applicable	23.7Mb	Canada	missing		46.79 N 71.25 W	not applicable	missing	missing	JEL261	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	200	PRJNA413876	SAMN07773626	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470384	0	Illumina HiSeq 2000	PAIRED	JEL270	2017-12-14	4146	2759	ILLUMINA	2017-12-14	SRR6375484	SRS2757312	SRP123576	JEL270	1999	missing	missing	not applicable	23.7Mb	USA	missing		38.06875 N 122.80646 W	not applicable	missing	missing	JEL270	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773563	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470385	0	Illumina HiSeq 2000	PAIRED	11.OZ	2017-12-14	2024	894	ILLUMINA	2017-12-14	SRR6375483	SRS2757174	SRP123576	11.OZ	1998	missing	missing	not applicable	23.7Mb	Australia	missing		17.88716 S 145.80385 E	not applicable	missing	missing	11.OZ	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773562	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470386	0	Illumina HiSeq 2000	PAIRED	09.OZ	2017-12-14	2730	1194	ILLUMINA	2017-12-14	SRR6375482	SRS2757175	SRP123576	09.OZ	2012	missing	missing	not applicable	23.7Mb	Australia	missing		42.8958 S 147.2366 E	not applicable	missing	missing	09.OZ	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773561	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470387	0	Illumina HiSeq 2000	PAIRED	08MG05	2017-12-14	4459	2033	ILLUMINA	2017-12-14	SRR6375481	SRS2757176	SRP123576	08MG05	2008	missing	missing	not applicable	23.7Mb	South Africa	missing		34.09332 S 18.42167 E	not applicable	missing	missing	08MG05	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773560	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470388	0	Illumina HiSeq 2000	PAIRED	08MG02	2017-12-14	2874	1366	ILLUMINA	2017-12-14	SRR6375480	SRS2757177	SRP123576	08MG02	2008	missing	missing	not applicable	23.7Mb	South Africa	missing		28.76268 S 28.91794 E	not applicable	missing	missing	08MG02	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773559	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470389	0	Illumina HiSeq 2000	PAIRED	0711.1	2017-12-14	2292	991	ILLUMINA	2017-12-14	SRR6375479	SRS2757179	SRP123576	0711.1	2007	missing	missing	not applicable	23.7Mb	France	missing		42.88778 N 0.70885 W	not applicable	missing	missing	0711.1	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773558	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3470390	0	Illumina HiSeq 2000	PAIRED	0710-1	2017-12-14	2157	941	ILLUMINA	2017-12-14	SRR6375478	SRS2757178	SRP123576	0710-1	2007	missing	missing	not applicable	23.7Mb	France	missing		42.88778 N 0.70885 W	not applicable	missing	missing	0710-1	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
