SampleID	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	BUSCO_Complete	BUSCO_Single	BUSCO_Single	BUSCO_Single	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Reads	Percent_reads_mapped	Mapped_reads	Average_Coverage
KRBOOR_331	1690	19184499	996	155846	4532	11351.77	209	26266	809	5074	92.0	91.0	91.0	91.0	3.1	4.9	290	56518994	85.9363%	49189598	256.4
L2203	1349	19697840	1000	275870	3788	14601.81	122	41224	534	6400	94.1	93.1	93.1	93.1	1.7	4.2	290	20746202	91.1646%	18743614	118.9
LHURS8_(CH)	1115	19416970	495	309266	5464	17414.32	114	45716	462	9181	94.1	93.1	93.1	93.1	1.4	4.5	290	25010000	87.0201%	21832252	112.4
LHURS_11No1	1268	19353834	1000	275829	4405	15263.28	122	39389	523	7331	94.1	93.1	93.1	93.1	1.4	4.5	290	45335982	88.6387%	40007382	206.7
LHURS_11No11	1328	19372690	975	275829	4604	14587.87	136	36368	567	6899	93.4	92.4	92.4	92.4	2.1	4.5	290	37598410	86.9067%	32554815	168.0
LHURS_11No7	1392	19380584	1000	276012	4480	13922.83	145	35335	603	6609	93.4	92.4	92.4	92.4	1.7	4.9	290	44298876	86.0020%	38252551	197.4
LHURS_11No8	1340	19359309	1000	275829	4585	14447.25	137	37028	571	7008	93.8	92.8	92.8	92.8	1.7	4.5	290	30624140	86.5242%	26612998	137.5
LM2	1218	19698301	1000	342954	3533	16172.66	97	51894	443	7797	92.7	91.7	91.7	91.7	2.4	4.9	290	17592312	91.8710%	16041255	101.8
Lhurs_13No11	1327	19362875	1000	275829	4527	14591.47	134	38540	564	6898	94.1	93.1	93.1	93.1	1.4	4.5	290	31379240	89.3260%	28125200	145.3
Lhurs_13No13	1308	19374666	1000	275829	4526	14812.44	132	38578	549	7033	93.1	92.1	92.1	92.1	1.7	5.2	290	41905402	89.9920%	37512706	193.6
Lhurs_13No14	1259	19386548	1000	275829	4391	15398.37	127	41269	517	7745	93.4	92.4	92.4	92.4	1.7	4.9	290	37250970	86.5077%	32088881	165.5
Lhurs_13No2	1273	19368262	1000	276012	4457	15214.66	127	39111	531	7455	93.8	92.8	92.8	92.8	1.4	4.8	290	46143818	84.6068%	39228788	202.5
Lhurs_13No4	1333	19350102	1000	275829	4536	14516.21	139	36997	575	6659	93.4	92.4	92.4	92.4	1.7	4.9	290	64206664	88.8745%	57373143	296.5
MAD_(FR)	1131	19487470	1000	201275	5098	17230.30	122	43903	465	8967	93.8	92.8	92.8	92.8	1.7	4.5	290	29303568	90.0806%	26527205	134.8
MAL05_(GB)	1106	19467451	1000	275829	4594	17601.67	106	48399	434	9671	93.8	92.8	92.8	92.8	1.4	4.8	290	24600000	87.7020%	21610988	111.0
MC58	1195	19722894	1000	342960	3206	16504.51	89	57033	419	7923	93.1	92.1	92.1	92.1	1.7	5.2	290	15894506	93.0765%	14679023	93.0
MC94	1348	19653563	1000	281309	4031	14579.79	124	38889	554	6601	93.4	92.4	92.4	92.4	1.7	4.9	290	15016616	89.6936%	13476694	85.7
MCT8	1335	19665808	1000	279892	4051	14730.94	115	43043	542	6459	93.8	92.4	92.4	92.4	1.7	4.5	290	14354602	90.8158%	13001817	82.6
MG1_(ZA)	1291	19356037	998	275802	4002	14993.06	125	44698	518	7326	93.8	92.8	92.8	92.8	1.7	4.5	290	18794060	72.2549%	13794861	70.6
MG4_(ZA)	1504	19323920	904	275854	4237	12848.35	158	32804	665	5694	92.4	91.4	91.4	91.4	2.4	5.2	290	30166464	88.4103%	26714613	136.9
MODS27_(IT)	1333	19290538	550	276020	4206	14471.52	134	38916	557	7183	93.8	92.8	92.8	92.8	1.7	4.5	290	12153358	87.3115%	10621272	54.5
MODS28_(IT)	1449	19396893	999	275854	4085	13386.40	152	33499	621	6196	93.1	92.1	92.1	92.1	2.1	4.8	290	36835176	87.6263%	32325310	165.0
PENNEWT	1166	19457325	1000	275811	5032	16687.24	118	45093	481	8616	94.1	93.1	93.1	93.1	1.7	4.2	290	27102244	91.0688%	24682589	126.9
PENS-2.4	1412	19629614	983	261222	3937	13901.99	137	36151	590	6025	93.8	92.8	92.8	92.8	1.4	4.8	290	10182500	92.7774%	9440834	60.1
PENS-9.2	1219	19681713	992	261222	3899	16145.79	113	45916	467	8004	93.4	92.4	92.4	92.4	1.7	4.9	290	9872012	92.2450%	9100622	57.8
PNP15150	1329	19625749	1000	286464	4400	14767.31	128	40522	554	6669	93.4	92.4	92.4	92.4	1.7	4.9	290	14083456	91.0001%	12800090	81.5
PNP15152	1403	19570705	1000	276036	4268	13949.18	142	35623	602	6214	93.4	92.4	92.4	92.4	1.7	4.9	290	21392178	91.6827%	19498157	124.5
PNP15153	1345	19639163	989	486370	4047	14601.61	128	39485	554	6577	93.1	92.1	92.1	92.1	1.7	5.2	290	19977732	90.7737%	18081244	115.1
PNP15156	1364	19604323	1000	276036	4258	14372.67	134	36242	576	6418	93.4	92.4	92.4	92.4	1.4	5.2	290	19285638	91.7455%	17683030	112.7
PUITS_11	1360	19406929	1000	276012	4462	14269.80	139	37565	578	6668	93.4	92.4	92.4	92.4	1.7	4.9	290	43092198	88.2114%	38290019	197.3
PUITS_12No3	1260	19406994	1000	275829	4391	15402.38	127	41857	514	7765	94.4	93.4	93.4	93.4	1.4	4.2	290	44387812	88.1353%	38981952	200.9
PUITS_12No4	1276	19369031	1000	276012	4585	15179.49	129	39549	533	7228	93.4	92.4	92.4	92.4	2.1	4.5	290	50716128	88.3099%	44489134	229.7
PUITS_12No5	1376	19404007	1000	276012	4465	14101.75	143	35739	592	6609	93.1	92.1	92.1	92.1	2.1	4.8	290	49181786	91.5018%	44857916	231.2
PUITS_12No7	1367	19353063	1000	275829	4662	14157.32	140	36885	597	6395	92.7	91.7	91.7	91.7	2.1	5.2	290	44617262	88.4907%	39700389	205.1
PUITS_12No8	1332	19378400	1000	276012	4307	14548.35	131	39264	557	7033	94.1	93.1	93.1	93.1	1.7	4.2	290	48856012	87.3292%	42522772	219.4
RAS3_(CH)	1247	19402986	988	306774	5190	15559.73	137	36085	536	7873	93.4	92.4	92.4	92.4	2.1	4.5	290	25200000	87.3268%	22037469	113.6
RC4	1480	19601882	1000	284685	4048	13244.51	150	33286	637	5921	93.5	92.1	92.1	92.1	1.7	4.8	290	10211544	91.5191%	9268328	59.1
RC5.1	1378	19661473	1000	259485	4104	14268.12	137	38138	575	6400	93.1	92.1	92.1	92.1	1.7	5.2	290	18522964	92.1228%	16908928	107.5
RC5.1_(FR)	1534	19144900	1000	152268	4429	12480.38	176	30023	695	5808	93.1	92.1	92.1	92.1	1.4	5.5	290	19613836	72.0777%	14300289	73.9
RioMaria	1484	20727936	1000	276058	2999	13967.61	109	50559	543	5080	93.8	92.8	92.8	92.8	1.7	4.5	290	6711306	85.1683%	5775095	69.9
SA-EC1	1305	19640927	1000	276497	3899	15050.52	114	42205	520	7000	93.4	92.4	92.4	92.4	2.4	4.2	290	9038622	90.9702%	8212963	52.3
SA-EC3	1440	19621918	1002	257768	4183	13626.33	138	37064	609	5907	91.3	90.3	90.3	90.3	3.8	4.9	290	9248060	91.6246%	8463253	53.9
SA-EC5	1794	19470643	1001	275870	4387	10853.20	220	25527	877	4648	91.7	90.7	90.7	90.7	2.8	5.5	290	9873936	90.4619%	8925545	57.3
SA-EC6	1384	19631472	1000	276036	3691	14184.59	119	39417	554	6319	93.4	92.4	92.4	92.4	2.1	4.5	290	9927692	90.8354%	9012399	57.4
SA-EC7	1208	19705189	764	275870	3688	16312.24	105	52759	447	8142	93.8	92.8	92.8	92.8	2.1	4.1	290	9601258	90.0078%	8637661	54.8
SA-FS1	1087	19764636	1000	342950	3566	18182.74	84	59873	377	9749	93.5	92.1	92.1	92.1	2.1	4.4	290	9418240	92.1790%	8677083	54.9
SA-KN1	1101	19703447	1000	343855	3682	17895.96	87	56921	388	9394	94.1	93.1	93.1	93.1	2.1	3.8	290	10105750	91.9225%	9295399	59.0
SA-KN3	1138	19704542	1000	344023	3291	17315.06	86	57749	388	9509	93.8	92.8	92.8	92.8	2.1	4.1	290	9130724	90.5301%	8260375	52.4
SA-KN4	1187	19683005	1000	343827	3457	16582.14	94	54510	427	8140	93.4	92.4	92.4	92.4	2.8	3.8	290	9907714	92.8244%	9202422	58.4
SA-KN5	1170	19669314	1000	344994	3480	16811.38	90	55075	417	8046	93.1	92.1	92.1	92.1	2.8	4.1	290	9400600	91.5495%	8611093	54.7
SA-KN6	1149	19714678	1000	342989	3538	17158.12	84	56552	410	8211	92.7	91.7	91.7	91.7	2.8	4.5	290	9638104	92.6925%	8927794	56.6
SA-NC1	1308	19660752	1000	275870	3966	15031.16	123	39460	531	6870	93.8	92.8	92.8	92.8	1.7	4.5	290	9565308	92.7989%	8870695	56.4
SA-NC10	1460	19621525	996	275870	3938	13439.40	143	33269	620	5979	93.8	92.8	92.8	92.8	1.7	4.5	290	9929548	92.7435%	9214361	58.7
SA-NC2	1377	19631902	985	275870	4202	14257.01	130	36214	581	6359	94.1	93.1	93.1	93.1	1.7	4.2	290	9562280	90.5244%	8650889	55.1
SA-NC3	1344	19650829	828	275870	3949	14621.15	124	39327	549	6589	93.4	92.4	92.4	92.4	2.1	4.5	290	9291544	91.4892%	8495905	54.0
SA-NC4	1361	19639782	1000	276497	4037	14430.41	131	38750	570	6518	93.1	92.1	92.1	92.1	2.1	4.8	290	9448504	92.2123%	8707906	55.4
SA-NC5	1352	19630917	1000	276036	4047	14519.91	132	38825	556	6973	93.4	92.4	92.4	92.4	1.7	4.9	290	9888590	92.1218%	9104236	58.0
SA-NC6	1276	19671394	685	276036	3928	15416.45	116	42641	504	7334	93.1	92.1	92.1	92.1	2.4	4.5	290	8878614	92.1811%	8176831	52.0
SA-NC7	1388	19594402	990	279518	3931	14117.00	133	36313	574	6318	93.1	92.1	92.1	92.1	2.8	4.1	290	9095026	91.9666%	8356433	53.3
SA-NC8	1229	19732841	1000	275870	3917	16056.01	112	47609	472	7934	93.4	92.4	92.4	92.4	2.4	4.2	290	8889502	91.6085%	8134796	51.5
SA-NC9	1375	19630041	1000	276497	3894	14276.39	126	37344	568	6601	93.8	92.8	92.8	92.8	1.7	4.5	290	9106894	92.1431%	8403053	53.5
SA1d_(ZA)	1293	19435176	1000	275856	3694	15031.07	117	46789	504	7290	92.7	91.7	91.7	91.7	2.4	4.9	290	34204976	89.7198%	30734882	156.6
SA3e	1060	19727970	1000	344614	3571	18611.29	78	64061	359	10058	93.8	92.4	92.4	92.4	2.4	3.8	290	17754326	91.8215%	16304055	103.3
SA4c_(ZA)	1349	19333144	1000	241489	3891	14331.46	131	39739	550	7153	93.4	92.4	92.4	92.4	1.7	4.9	290	41518894	86.5639%	35987837	184.3
SA5c	1201	19707880	994	334000	3656	16409.56	96	51819	446	7736	93.1	91.7	91.7	91.7	2.4	4.5	290	15074208	90.8056%	13789709	87.5
SA6e	1095	19717481	998	343839	3567	18006.83	85	58468	382	9455	93.8	92.4	92.4	92.4	2.4	3.8	290	16096292	91.4242%	14727936	93.4
SCH_(CH)	1037	19518549	1000	275846	4137	18822.13	93	57689	386	10540	93.1	92.1	92.1	92.1	2.1	4.8	290	20517742	87.9828%	18102001	92.7
SFBC014_(GB)	1437	19332694	1000	246486	4292	13453.51	155	34344	619	6215	93.4	92.4	92.4	92.4	1.7	4.9	290	26524742	86.1861%	22910519	117.3
SP10_(IT)	1378	19381907	1000	201253	4388	14065.24	150	35565	587	6855	93.8	92.8	92.8	92.8	1.7	4.5	290	29807212	88.3657%	26426272	135.0
STR3_(CH)	1150	20055722	1000	307708	4886	17439.76	116	47912	460	9767	93.8	92.8	92.8	92.8	1.7	4.5	290	24200000	61.7353%	14958151	74.6
SWED-40.5.04	1403	19633707	1000	276036	4148	13994.09	138	36198	593	6202	93.1	92.1	92.1	92.1	2.8	4.1	290	9976426	92.0439%	9177057	58.4
SWED-40.5.13	1448	19612038	1000	276036	3899	13544.23	145	35806	605	5972	93.1	92.1	92.1	92.1	2.4	4.5	290	10319636	91.9249%	9481030	60.4
SWED-40.5.14	1408	19643280	1000	275870	3738	13951.19	133	37276	576	6223	93.1	92.1	92.1	92.1	2.1	4.8	290	9888142	92.7865%	9180057	58.4
SWED-40.5.17	1429	19596464	1000	276036	4047	13713.41	139	36077	604	6137	93.4	92.4	92.4	92.4	1.7	4.9	290	9984512	90.6530%	9046321	57.7
SWED-40.5.22	1410	19624738	1000	275870	3905	13918.25	140	36270	590	6371	93.8	92.8	92.8	92.8	1.7	4.5	290	9555258	91.8188%	8768916	55.9
SWISS_IT1	1280	19678639	990	276497	3832	15373.94	119	45701	502	7168	93.8	92.8	92.8	92.8	1.4	4.8	290	19014592	91.8099%	17458202	110.9
Sample_55882	1307	19541060	814	261205	3717	14951.08	123	45408	509	7170	93.4	92.4	92.4	92.4	1.4	5.2	290	6585346	83.9506%	5546998	35.8
Sample_55883	1547	19588263	999	184781	3922	12662.10	170	31922	668	5919	93.1	92.1	92.1	92.1	1.7	5.2	290	6684444	82.3696%	5527086	35.6
Sample_55886	1501	19544863	1000	201269	3733	13021.23	149	34698	633	5507	93.1	92.1	92.1	92.1	1.7	5.2	290	15104558	83.5536%	12681413	81.8
Sample_55887	1262	19606340	1000	275766	3941	15535.93	120	45584	488	7239	94.2	92.8	92.8	92.8	2.1	3.7	290	13615384	89.0368%	12237229	78.6
Sample_55888	1478	19906621	999	276052	3282	13468.62	129	41979	579	5525	93.8	92.8	92.8	92.8	1.4	4.8	290	15061308	86.0778%	12989114	82.2
Sample_55890	1431	19724992	1000	275886	3183	13784.06	125	40290	548	6006	93.4	92.4	92.4	92.4	1.7	4.9	290	12488526	76.1184%	9518773	60.8
Sample_55897	1323	19620718	1000	245766	3716	14830.47	122	43348	519	6956	94.8	93.8	93.8	93.8	1.4	3.8	290	10908058	88.0178%	9664985	62.1
Sample_55898	1395	19579311	999	271112	3714	14035.35	138	39307	569	6359	93.8	92.8	92.8	92.8	2.4	3.8	290	9990720	88.3820%	8864807	57.0
Sample_55899	1619	19663513	1000	201269	4244	12145.47	180	30755	736	5278	93.1	91.4	91.4	91.4	2.1	4.8	290	9698210	75.7158%	7398303	47.4
Sample_55900	1364	19744996	1000	259647	3087	14475.80	115	46162	506	6504	93.8	92.8	92.8	92.8	2.1	4.1	290	19313812	77.4692%	15002585	95.7
Sample_55901	1559	19739994	1000	284853	3739	12661.96	157	35110	664	5388	92.4	91.4	91.4	91.4	3.4	4.2	290	25126022	75.4752%	19030263	121.5
Sample_55902	1597	19729662	1000	275782	3714	12354.20	169	33340	689	5608	92.0	91.0	91.0	91.0	3.8	4.2	290	21672720	75.3731%	16396823	104.7
Sample_55903	1504	19734189	1000	228315	3780	13121.14	154	35905	629	6122	92.7	91.7	91.7	91.7	2.8	4.5	290	14001888	76.6693%	10788645	68.9
Sample_55904	1584	19701574	1000	285005	3453	12437.86	156	33993	671	5491	91.7	90.7	90.7	90.7	4.1	4.2	290	16387754	76.5945%	12587788	80.5
Sample_55905	1556	19752603	360	186682	3641	12694.47	159	35447	655	5688	92.4	91.4	91.4	91.4	3.4	4.2	290	15834434	74.6605%	11855854	75.6
Sample_55906	1470	19794323	851	201285	3480	13465.53	135	41987	582	5746	93.1	91.7	91.7	91.7	1.7	5.2	290	9888208	74.5732%	7394830	47.1
Sample_55907	61	6649146	46189	259619	91995	109002.39	21	104322	52	71844	39.0	38.3	38.3	38.3	1.4	59.6	290	14416468	21.2465%	3073151	58.2
Sample_55908	1379	19776598	1000	245878	3642	14341.26	127	41801	542	6541	93.4	92.4	92.4	92.4	1.7	4.9	290	19836550	83.4182%	16607768	105.8
Sample_55910	1315	19877471	1000	245878	3401	15115.95	110	50557	488	6358	94.1	93.1	93.1	93.1	1.7	4.2	290	17927760	81.3553%	14664759	93.0
Sample_55911	1476	19654500	1000	218334	3806	13316.06	145	36941	609	5917	93.1	92.1	92.1	92.1	1.7	5.2	290	9130708	75.1841%	6913629	44.3
Sample_55912	1683	19895148	984	201269	4110	11821.24	194	29592	775	5114	91.7	89.3	89.3	89.3	3.1	5.2	290	13801112	72.8170%	10100744	64.0
Sample_55913	1377	19865575	862	259619	3288	14426.71	118	46230	522	6439	93.8	92.4	92.4	92.4	1.7	4.5	290	12092342	86.7268%	10534456	66.8
Sample_55914	2808	20767115	1000	94627	3949	7395.70	429	14099	1629	3028	84.5	79.0	79.0	79.0	8.3	7.2	290	8601520	68.5908%	5935418	36.0
Sample_55915	1349	19674346	1000	275870	3813	14584.39	122	43353	538	6467	94.1	93.1	93.1	93.1	1.4	4.5	290	14638872	86.7834%	12763686	81.7
Sample_55916	1269	19670461	1000	275870	3576	15500.76	112	50754	474	7181	94.4	93.4	93.4	93.4	1.4	4.2	290	11070934	89.7545%	9963602	63.8
Sample_55917	2210	20455904	716	119387	4560	9256.07	313	18296	1191	3895	89.7	85.2	85.2	85.2	4.5	5.8	290	8798988	72.1033%	6390228	39.4
Sample_55918	1953	20204207	1000	100163	4628	10345.22	273	22654	990	4454	91.0	87.9	87.9	87.9	3.8	5.2	290	10019606	70.8510%	7173671	44.7
Sample_55920	1572	19880267	1000	201269	4004	12646.48	173	32706	694	5497	91.1	89.7	89.7	89.7	3.1	5.8	290	11747090	65.3114%	7720527	48.9
Sample_55921	1305	19672570	1000	245883	3656	15074.77	117	46416	501	7114	93.4	92.4	92.4	92.4	2.4	4.2	290	11734070	87.2087%	10272379	65.8
Sample_55922	1817	20400083	998	198316	4437	11227.34	226	25050	880	4799	90.0	83.8	83.8	83.8	4.5	5.5	290	8478634	73.6739%	6291530	38.9
Sample_55925	1511	19556213	1000	159954	6148	12942.56	201	27347	778	5868	88.0	86.6	86.6	86.6	5.5	6.5	290	8978244	81.1523%	7329938	47.2
Sample_55926	1970	19566236	1000	111132	4056	9932.10	247	22912	984	4083	89.3	88.3	88.3	88.3	4.5	6.2	290	12948666	70.7418%	9210540	59.3
Sample_55927	1367	19692308	925	275886	3426	14405.49	116	46107	525	6329	93.4	92.4	92.4	92.4	2.1	4.5	290	10632648	83.4791%	8922081	57.1
Sample_55928	2424	19861400	1000	91968	4233	8193.65	360	15681	1348	3364	87.6	83.8	83.8	83.8	5.5	6.9	290	8239862	75.5708%	6258142	39.7
Sample_55929	1932	19303757	1000	178953	5333	9991.59	286	18950	1074	4358	88.6	87.9	87.9	87.9	3.4	8.0	290	8298478	82.4032%	6872208	44.9
Sample_55930	1429	19628973	1000	276036	3843	13736.16	142	36078	593	6141	93.4	92.4	92.4	92.4	2.1	4.5	290	12024056	86.8445%	10481008	67.3
Sample_55931	3370	20749779	802	75556	3655	6157.20	569	10363	2096	2538	82.4	75.2	75.2	75.2	9.3	8.3	290	10255876	65.3890%	6749683	41.0
Sample_55932	1352	19675829	1000	259631	3652	14553.13	124	40962	528	6540	93.8	92.8	92.8	92.8	2.1	4.1	290	15807216	89.0252%	14103203	90.3
Sample_55933	1383	19636235	1000	265414	3888	14198.29	138	39214	565	6468	93.1	92.1	92.1	92.1	2.1	4.8	290	14291566	90.1164%	12923544	82.9
Sample_55934	1247	19736714	1000	276036	3677	15827.36	109	50441	472	7769	94.1	92.4	92.4	92.4	1.7	4.2	290	10625256	89.2804%	9541575	60.9
Sample_55935	1431	19652291	1000	284769	3656	13733.26	142	39222	582	6153	93.8	92.8	92.8	92.8	2.4	3.8	290	15485384	88.0337%	13708186	87.9
Sample_55936	4900	20576792	1000	57558	2654	4199.35	916	6259	3379	1793	72.8	63.8	63.8	63.8	15.9	11.3	290	13521426	65.3329%	8873109	54.3
Sample_55937	1406	19585953	1000	275766	3496	13930.27	132	41611	557	6284	94.1	93.1	93.1	93.1	1.7	4.2	290	11358040	86.9084%	9910050	63.8
Sample_55938	1895	19738525	1000	158685	4113	10416.11	237	24010	928	4304	90.7	88.6	88.6	88.6	3.8	5.5	290	12684146	77.2511%	9836459	62.8
Sample_55939	1357	19780414	1000	323854	3460	14576.58	125	45399	521	6683	94.2	92.8	92.8	92.8	1.7	4.1	290	13744044	81.2989%	11219775	71.5
Sample_55940	2006	20324347	1000	133117	4298	10131.78	260	21770	1016	4177	89.7	84.5	84.5	84.5	4.8	5.5	290	10417878	73.3642%	7675960	47.6
Sample_55942	1587	19713259	1000	173831	3323	12421.71	152	36165	650	5571	93.1	92.1	92.1	92.1	2.4	4.5	290	12715724	73.7041%	9424453	60.2
Sample_55944	1248	19640750	1000	259485	3954	15737.78	116	48357	485	7547	93.1	92.1	92.1	92.1	1.7	5.2	290	8903952	90.2730%	8063673	51.7
Sample_55945	1635	19962646	927	162732	4150	12209.57	179	31027	733	5284	91.8	89.0	89.0	89.0	3.1	5.1	290	9841170	74.3830%	7356141	46.4
Sample_55946	1316	20071869	1000	401296	3307	15252.18	112	47127	486	7109	92.4	90.7	90.7	90.7	2.8	4.8	290	11585618	83.2599%	9691206	60.8
Sample_55947	1572	19890132	954	205067	4047	12652.76	178	31430	691	5730	92.4	90.7	90.7	90.7	2.4	5.2	290	12043980	72.1994%	8737563	55.4
Section_Line	3004	12215111	1002	25704	3140	4066.28	755	5071	2236	2069	36.6	36.6	36.6	36.6	19.7	43.7	290	1544758	64.8010%	1016449	21.6
Sora	1439	20755617	1000	418524	3213	14423.64	117	48624	530	5981	93.8	92.8	92.8	92.8	1.7	4.5	290	5644506	85.4948%	4894272	59.0
TER_1.1	1504	19585582	1000	196015	3914	13022.33	162	32722	649	5755	93.8	92.8	92.8	92.8	1.7	4.5	290	20110576	88.0272%	18019931	115.0
TER_3.1	1367	19648156	505	253098	4332	14373.19	132	38204	579	6331	92.7	91.7	91.7	91.7	2.1	5.2	290	16581998	93.3243%	15474082	98.4
TER_4.2	1335	20116332	1000	275771	3339	15068.41	109	50754	484	6401	94.5	93.1	93.1	93.1	1.4	4.1	290	22511348	89.2021%	20126382	125.1
TF5a1_(ES)	1265	19434464	1000	275858	3648	15363.21	115	47742	481	7613	93.1	92.1	92.1	92.1	1.7	5.2	290	34575990	87.6313%	30327713	154.5
TORO1_(ES)	1042	19508345	1000	276012	3994	18722.02	92	57685	382	10982	93.8	92.8	92.8	92.8	1.7	4.5	290	24630000	85.7002%	21158679	108.5
TW16-050	1375	19608103	964	287667	4163	14260.44	131	36316	576	6675	92.7	91.7	91.7	91.7	2.8	4.5	290	9747446	90.6074%	8837813	56.3
TW16-164	1323	19628106	1000	276036	4124	14836.06	122	40779	540	6692	94.1	93.1	93.1	93.1	1.4	4.5	290	9804606	91.2966%	8957296	57.0
TW16-206	1431	19600506	1000	276036	3969	13697.07	134	35763	603	6037	93.1	92.1	92.1	92.1	2.1	4.8	290	10181610	91.6695%	9338790	59.6
TW16-279	1360	19641480	1000	276036	3886	14442.26	125	39417	550	6604	93.1	91.7	91.7	91.7	2.1	4.8	290	10191414	91.9520%	9381262	59.7
TW16-280	1432	19613236	1000	279892	3905	13696.39	140	35111	597	5994	93.4	92.4	92.4	92.4	2.1	4.5	290	9920102	90.7714%	9014002	57.4
TW16-292	1447	19606072	1000	276036	3938	13549.46	138	35213	610	5958	93.1	92.1	92.1	92.1	2.1	4.8	290	10333964	91.9608%	9494227	60.5
TW16-293	1417	19590684	1000	276036	4102	13825.47	139	35209	601	6165	93.1	92.1	92.1	92.1	1.7	5.2	290	9657902	91.7536%	8852858	56.5
TW16-295	1396	19579213	567	275870	4043	14025.22	133	36725	587	6301	93.1	92.1	92.1	92.1	2.1	4.8	290	9719322	91.3163%	8883044	56.7
TW16-304	1413	19578915	1000	275870	3927	13856.27	135	36424	591	6137	93.1	92.1	92.1	92.1	2.1	4.8	290	10158072	91.0037%	9252868	59.1
TW16-519	1419	19594696	1000	285975	4210	13808.81	146	33790	611	6214	93.1	92.1	92.1	92.1	2.1	4.8	290	9760186	91.8231%	8953493	57.1
UKBEL	1166	19404693	1000	308006	5321	16642.10	122	41667	490	8956	94.1	93.1	93.1	93.1	1.7	4.2	290	23398488	89.5148%	20948351	108.0
UKBER	1170	19388698	1000	308411	5689	16571.54	123	40786	497	8625	93.1	92.1	92.1	92.1	2.1	4.8	290	29823824	90.2337%	26919574	138.8
UKMAB	1161	19429930	593	259579	4793	16735.51	120	43308	474	9078	92.7	91.7	91.7	91.7	2.1	5.2	290	29309236	89.1661%	26138609	134.5
UKTVB	1049	19770807	1000	306025	3790	18847.29	85	62030	365	10350	93.5	92.1	92.1	92.1	2.1	4.4	290	20484704	92.6031%	18969724	119.9
VA02	1516	19586476	1000	198482	4005	12919.84	160	33133	663	5827	93.4	92.4	92.4	92.4	1.7	4.9	290	18297600	92.4183%	16729972	106.8
VC1_(CA)	1331	19331612	919	246470	3807	14524.13	125	41515	530	7125	93.4	92.4	92.4	92.4	1.7	4.9	290	12131210	85.9492%	10463396	53.6
VOR3_(CH)	1035	19445753	593	309084	5130	18788.17	101	53903	405	10926	94.1	93.1	93.1	93.1	1.7	4.2	290	24577128	84.8818%	20927842	107.6
picosAo1	1228	19435613	1000	275846	4527	15827.05	123	40237	506	7873	93.8	92.8	92.8	92.8	1.7	4.5	290	28242908	88.6290%	25036874	128.8
